Gene	b152eca9-ed2b-4508-a01d-51f6f198563a_C	fc7d5222-3324-4678-8f57-fc8100164188_C	f17ad0a0-0881-4e81-bcbe-fb99c56266c4_C	1d950340-c0fe-481d-8cda-a58efe2d77cc_T	009a308f-6806-4131-aaf8-d018a424c882_T	f196b382-eed5-4bb2-aa3f-f3014d369dbf_T
ENSG00000000003.15	10593	9210	14335	9033	7153	5995
ENSG00000000005.6	353	202	899	182	148	46
ENSG00000000419.12	1626	2591	2674	1988	2589	1302
ENSG00000000457.14	1843	2542	3870	3554	4553	2199
ENSG00000000460.17	196	673	947	1062	1263	830
ENSG00000000938.13	646	2738	525	713	652	1006
ENSG00000000971.16	1743	15161	7650	4440	2158	7131
ENSG00000001036.14	2802	7353	3486	4005	5457	2408
ENSG00000001084.13	3640	5367	5358	4263	4363	2104
ENSG00000001167.14	3953	7803	8375	6474	6319	5462
